total_return_pct,final_capital,trades,win_rate,profit_factor,avg_win,avg_loss,best_trade,worst_trade,max_drawdown,long_trades,short_trades,liquidated,st_period,st_mult,ao_fast,ao_slow,vol_threshold,sl_atr_mult,ts_activation,ts_trail_atr_mult
38.93,138.93,61,52.46,1.02,3.0286,-3.2886,6.8312,-5.0581,-53.29,36,25,False,14,2.0,7,34,1.0,3.0,3.0,1.5
38.5,138.5,43,62.79,1.18,2.5548,-3.6425,6.7477,-6.0845,-35.72,24,19,False,14,2.0,7,21,1.5,4.0,3.0,2.0
38.12,138.12,44,61.36,1.13,2.0054,-2.8128,4.3395,-4.5633,-30.21,25,19,False,14,2.0,7,21,1.5,3.0,2.0,1.5
37.87,137.87,48,52.08,1.08,2.9024,-2.9077,7.5581,-5.2421,-28.03,28,20,False,14,2.0,7,34,1.3,3.0,3.0,3.0
37.79,137.79,39,66.67,1.13,2.1554,-3.8085,6.4713,-6.4505,-21.44,21,18,False,10,2.0,7,21,1.5,4.0,2.0,2.0
37.31,137.31,52,63.46,1.07,2.1453,-3.4791,6.7477,-6.9895,-30.57,25,27,False,14,2.0,7,21,1.3,4.0,2.0,2.0
37.06,137.06,43,67.44,1.16,2.4936,-4.4503,6.4312,-7.0565,-42.19,25,18,False,14,2.0,5,34,1.5,4.0,2.0,2.0
36.48,136.48,55,58.18,1.16,2.2658,-2.7111,8.5397,-4.8379,-35.55,29,26,False,10,2.0,7,21,1.3,3.0,2.0,2.0
36.46,136.46,40,47.5,1.19,2.7789,-2.1191,6.1059,-2.7183,-36.92,24,16,False,14,2.0,7,34,1.5,2.0,3.0,2.0
35.56,135.56,60,56.67,1.2,2.707,-2.9502,7.9745,-5.1589,-49.58,34,26,False,7,2.0,5,21,1.3,3.0,3.0,2.0
35.12,135.12,61,55.74,1.17,2.6721,-2.8723,6.9528,-4.5633,-39.62,32,29,False,14,2.0,5,21,1.3,3.0,3.0,1.5
34.6,134.6,59,57.63,1.15,2.5104,-2.9585,4.1761,-5.1589,-44.09,33,26,False,7,2.0,5,21,1.3,3.0,3.0,1.5
34.52,134.52,36,61.11,1.1,2.2056,-3.1607,6.0509,-5.1589,-28.63,23,13,False,7,2.0,7,21,1.5,3.0,2.0,2.0
34.34,134.34,42,57.14,1.06,2.4349,-3.0615,6.4713,-4.8379,-28.93,24,18,False,10,2.0,7,21,1.5,3.0,3.0,2.0
33.7,133.7,49,65.31,1.06,2.2383,-3.9763,6.1059,-6.9895,-27.91,29,20,False,14,2.0,7,34,1.3,4.0,2.0,2.0
32.88,132.88,47,59.57,1.04,3.0443,-4.2987,8.2977,-6.8368,-41.96,27,20,False,7,2.0,5,34,1.3,4.0,3.0,2.0
32.84,132.84,34,61.76,1.1,2.6878,-3.9521,6.5032,-6.8785,-28.25,21,13,False,7,2.0,7,21,1.5,4.0,3.0,1.5
32.03,132.03,52,51.92,1.06,3.0848,-3.1396,6.8312,-5.2924,-40.25,28,24,False,14,2.0,5,34,1.3,3.0,3.0,1.5
31.92,131.92,43,53.49,1.1,2.4275,-2.5446,7.5002,-4.5633,-28.99,24,19,False,14,2.0,7,21,1.5,3.0,3.0,3.0
31.86,131.86,34,61.76,1.01,2.9529,-4.7456,6.3474,-6.8368,-37.58,20,14,False,7,2.0,5,34,1.5,4.0,3.0,1.5
31.51,131.51,40,67.5,1.13,2.1234,-3.8918,4.3395,-5.4366,-27.28,24,16,False,14,2.0,7,34,1.5,4.0,2.0,1.5
31.34,131.34,42,66.67,1.13,1.9684,-3.4789,4.3395,-6.0845,-27.43,23,19,False,14,2.0,7,21,1.5,4.0,2.0,1.5
31.27,131.27,52,59.62,1.03,2.9252,-4.1978,6.4312,-7.0565,-39.1,28,24,False,14,2.0,5,34,1.3,4.0,3.0,2.0
29.92,129.92,62,58.06,0.96,2.9891,-4.3072,6.8312,-6.7442,-57.74,36,26,False,14,2.0,7,34,1.0,4.0,3.0,1.5
29.52,129.52,33,54.55,0.94,2.9375,-3.7692,6.3474,-6.4644,-35.33,20,13,False,7,2.0,5,34,1.5,3.0,3.0,1.5
29.16,129.16,54,57.41,1.05,2.15,-2.7627,6.7477,-5.2421,-37.77,27,27,False,14,2.0,7,21,1.3,3.0,2.0,2.0
28.59,128.59,59,61.02,1.13,2.6646,-3.6763,6.9528,-6.0845,-35.82,30,29,False,14,2.0,5,21,1.3,4.0,3.0,1.5
28.22,128.22,43,46.51,1.16,2.9294,-2.1894,6.4312,-3.5283,-46.59,25,18,False,14,2.0,5,34,1.5,2.0,3.0,2.0
28.08,128.08,61,55.74,0.96,3.1007,-4.059,8.629,-6.7442,-52.34,36,25,False,14,2.0,7,34,1.0,4.0,3.0,3.0
27.99,127.99,49,59.18,1.06,2.0741,-2.8255,6.0509,-5.1589,-38.93,28,21,False,7,2.0,7,21,1.3,3.0,2.0,2.0
27.87,127.87,43,60.47,1.13,2.4357,-3.3089,6.4312,-5.2924,-46.26,25,18,False,14,2.0,5,34,1.5,3.0,2.0,2.0
27.73,127.73,52,65.38,1.0,1.9145,-3.6312,4.3395,-6.9895,-31.37,25,27,False,14,2.0,7,21,1.3,4.0,2.0,1.5
27.47,127.47,60,50.0,0.99,3.1097,-3.1304,8.629,-5.0581,-52.4,36,24,False,14,2.0,7,34,1.0,3.0,3.0,3.0
27.05,127.05,36,61.11,1.03,3.0138,-4.5787,6.6498,-7.7853,-41.72,20,16,False,10,2.0,5,34,1.5,4.0,3.0,1.5
26.57,126.57,47,63.83,1.04,2.0873,-3.5326,6.0509,-6.8785,-34.19,26,21,False,7,2.0,7,21,1.3,4.0,2.0,2.0
26.21,126.21,40,60.0,1.13,2.53,-3.3667,7.7287,-5.4366,-29.02,24,16,False,14,2.0,7,34,1.5,4.0,2.0,3.0
